A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.485082910605364,9.229281200134865,Casoretto,45.46454535526668,9.1123363681504,Forze Armate,February,Sunday,19,12780,12732,1921,4000
45.48708021644051,9.246817380585478,Lambrate,45.51911733811752,9.161594783646448,Bovisasca,May,Sunday,21,21226,10668,1182,4487
45.43000969397873,9.240865852842612,Rogoredo,45.49917263689284,9.153175275788541,Villapizzone,March,Wednesday,20,32516,16879,1665,4376
45.470634268445245,9.187602409972424,Milano Area C,45.51226135240365,9.236643201883082,Precotto,September,Wednesday,9,7882,9085,1469,2766
45.514432507147696,9.239067131178643,Adriano,45.42401902900355,9.217731354535395,Vaiano Valle,December,Saturday,9,18149,15569,1244,5866
45.435295453028814,9.15063257398111,Barona,45.4787872148271,9.250721564728932,Lambrate,June,Thursday,11,16550,12646,1605,5322
45.433600329823236,9.210084630432284,Scalo Romana,45.45934644924635,9.200863635975733,Guastalla,November,Saturday,4,4402,6962,654,2851
45.478343799808265,9.203526740658777,Buenos Aires - Venezia,45.46202853647524,9.18815169710234,Duomo,July,Wednesday,12,3697,2758,964,1119
45.48506607126837,9.13316973898452,QT8,45.47647525573347,9.224384481042744,Città Studi,January,Wednesday,16,9448,10633,1660,2829
45.43495804174199,9.181241658052793,Stadera,45.509306017334204,9.152172669768063,Bovisa,June,Monday,9,30735,12383,1966,4816
45.50009559718266,9.245071303455713,Cimiano,45.45617641510093,9.193021486672619,Vigentina,March,Thursday,7,14430,9167,1921,3187
45.505937392528544,9.19649170888575,Prato Centenaro,45.46539426989008,9.234431917274366,Corsica,July,Tuesday,8,7673,8362,1623,3732
45.51706994417038,9.18831823101861,Niguarda,45.49971332275419,9.238896445299378,Cimiano,September,Thursday,18,6738,8346,1488,3158
45.472517041469935,9.20071895978786,Guastalla,45.49873965477086,9.168651475215052,Bovisa,December,Tuesday,18,5139,5735,1225,2446
45.447229209539,9.193771093499528,Vigentina,45.51910412204528,9.214656032316622,Bicocca,November,Tuesday,11,10557,10558,1835,3363
45.506369275095345,9.241069026049713,Adriano,45.50214873366444,9.252550040955327,San Gregorio,December,Friday,7,3455,3025,643,2306
45.432169311331,9.204843257143198,Ripamonti,45.49290559075407,9.168188926706627,Farini,May,Tuesday,11,9395,13910,1714,4059
45.44576759277974,9.121765017488798,Lorenteggio,45.51207346942873,9.179364529485706,Parco Nord,September,Tuesday,18,23133,13827,1710,3697
45.46926786824055,9.150855592688227,De Angeli - Monte Rosa,45.50494726752533,9.116234643929133,major cemetery of Milan,September,Friday,20,5767,7478,663,2733
45.473722701282114,9.194687436492455,Milano Area C,45.501651378971545,9.204304791775225,Maciachini - Maggiolina,February,Friday,21,4378,4593,733,1839
45.49224178415384,9.226479677868188,Turro,45.51195113621998,9.237923503156871,Adriano,June,Tuesday,21,2859,3225,389,2617
45.46612161037239,9.211766315752413,Porta Monforte,45.50332906424748,9.145104669698759,Villapizzone,August,Tuesday,8,8240,8250,1725,3045
45.47325021023446,9.194549412328021,Milano Area C,45.50553043880039,9.20530699696414,Segnano,March,Tuesday,11,5017,5318,959,1796
